iter	Passed	Remaining
457	808	957
458	810	954
459	811	952
460	812	949
461	813	947
462	814	944
463	815	942
464	816	939
465	818	937
466	819	934
467	820	932
468	821	930
469	822	927
470	823	925
471	824	922
472	826	920
473	826	917
474	827	915
475	828	912
476	830	910
477	831	907
478	832	905
479	833	902
480	834	900
481	835	897
482	836	895
483	837	892
484	838	890
485	839	887
486	840	885
487	841	883
488	842	880
489	843	878
490	845	876
491	846	873
492	847	871
493	848	869
494	849	867
495	851	865
496	852	862
497	853	860
498	854	858
499	856	856
500	857	854
501	859	852
502	860	850
503	862	848
504	863	846
505	865	844
506	866	842
507	868	841
508	869	838
509	871	837
510	873	835
511	874	833
512	875	831
513	877	829
514	878	827
515	879	825
516	881	823
517	882	821
518	883	819
519	885	817
520	886	815
521	887	812
522	888	810
523	890	808
524	891	806
525	892	804
526	893	802
527	894	800
528	896	797
529	897	795
530	899	794
531	900	791
532	901	789
533	902	787
534	903	785
535	904	783
536	905	781
537	907	778
538	908	776
539	909	774
540	910	772
541	911	770
542	913	768
543	914	766
544	916	764
545	917	762
546	918	760
547	919	758
548	921	757
549	923	755
550	924	753
551	926	751
552	927	749
553	928	747
554	929	745
555	931	743
556	932	741
557	934	740
558	936	738
559	937	736
560	938	734
561	941	733
562	942	731
563	943	729
564	944	727
565	946	725
566	947	723
567	948	721
568	949	719
569	951	717
570	952	715
571	954	714
572	955	712
573	956	709
574	957	707
575	958	705
576	959	703
577	961	701
578	962	699
579	963	697
580	964	695
581	965	693
582	967	692
583	969	690
584	970	688
585	971	686
586	972	684
587	974	682
588	975	680
589	976	678
590	978	676
591	979	674
592	980	673
593	982	671
594	983	669
595	984	667
596	985	665
597	986	663
598	987	661
599	989	659
600	990	657
601	991	655
602	992	653
603	993	651
604	994	649
605	995	647
606	997	645
607	998	643
608	999	641
609	1000	639
610	1001	637
611	1003	636
612	1004	634
613	1005	632
614	1006	630
615	1007	628
616	1008	626
617	1010	624
618	1011	622
619	1012	620
620	1013	618
621	1014	616
622	1015	614
623	1017	612
624	1018	611
625	1020	609
626	1022	608
627	1023	606
628	1025	604
629	1025	602
630	1027	600
631	1027	598
632	1029	596
633	1030	594
634	1031	592
635	1032	590
636	1033	588
637	1034	586
638	1035	584
639	1036	582
640	1038	581
641	1039	579
642	1041	577
643	1041	575
644	1043	574
645	1044	572
646	1045	570
647	1046	568
648	1047	566
649	1048	564
650	1049	562
651	1050	560
652	1052	559
653	1053	557
654	1054	555
655	1055	553
656	1056	551
657	1057	549
658	1058	547
659	1059	545
660	1060	543
661	1061	542
662	1062	540
663	1064	538
664	1065	536
665	1066	534
666	1067	532
667	1068	531
668	1069	529
669	1070	527
670	1071	525
671	1072	523
672	1073	521
673	1074	519
674	1075	518
675	1077	516
676	1078	514
677	1079	512
678	1081	511
679	1082	509
680	1083	507
681	1084	505
682	1085	503
683	1086	502
684	1088	500
685	1089	498
686	1091	497
687	1092	495
688	1094	493
689	1095	492
690	1096	490
691	1097	488
692	1099	486
693	1100	485
694	1101	483
695	1103	481
696	1104	480
697	1105	478
698	1107	476
699	1108	475
700	1109	473
701	1111	471
702	1112	470
703	1114	468
704	1115	466
705	1116	465
706	1117	463
707	1119	461
708	1120	460
709	1122	458
710	1123	456
711	1124	454
712	1125	453
713	1127	451
714	1128	449
715	1129	448
716	1131	446
717	1132	444
718	1134	443
719	1136	442
720	1138	440
721	1139	438
722	1140	437
723	1142	435
724	1143	433
725	1145	432
726	1146	430
727	1147	428
728	1149	427
729	1150	425
730	1151	423
731	1153	422
732	1154	420
733	1155	418
734	1157	417
735	1158	415
736	1160	414
737	1161	412
738	1163	410
739	1164	409
740	1165	407
741	1167	405
742	1168	404
743	1169	402
744	1170	400
745	1171	398
746	1172	397
747	1173	395
748	1174	393
749	1175	391
750	1176	390
751	1178	388
752	1179	386
753	1180	385
754	1182	383
755	1183	381
756	1184	380
757	1185	378
758	1186	376
759	1188	375
760	1190	373
761	1192	372
762	1193	370
763	1194	369
764	1195	367
765	1197	365
766	1198	364
767	1199	362
768	1201	360
769	1202	359
770	1203	357
771	1205	355
772	1206	354
773	1207	352
774	1209	351
775	1210	349
776	1211	347
777	1213	346
778	1214	344
779	1216	343
780	1218	341
781	1219	339
782	1220	338
783	1221	336
784	1223	335
785	1224	333
786	1225	331
787	1227	330
788	1227	328
789	1229	326
790	1230	325
791	1231	323
792	1232	321
793	1233	320
794	1234	318
795	1236	316
796	1237	315
797	1238	313
798	1239	311
799	1240	310
800	1241	308
801	1242	306
802	1243	305
803	1244	303
804	1245	301
805	1247	300
806	1248	298
807	1249	296
808	1250	295
809	1252	293
810	1253	292
811	1254	290
812	1255	288
813	1256	287
814	1257	285
815	1258	283
816	1259	282
817	1260	280
818	1261	278
